type,event_type,startedAt,duration,cause,cpu_user,cpu_kernel,cpu_wallClock,heap_occupancy_before_coll,heap_occupancy_after_coll,heap_size_before_coll,heap_size_after_coll,perm_or_meta_occupancy_before_coll,perm_or_meta_occupancy_after_coll,perm_or_meta_size_before_coll,perm_or_meta_size_after_coll
Young,PauseEvent,2023-07-18T18:38:34.550+02:00@2188520.063,0.007961000000000001,G1_EVACUATION_PAUSE,0.02,0.0,0.01,742400,177152,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:38:40.761+02:00@2188526.275,0.007288,G1_EVACUATION_PAUSE,0.01,0.0,0.01,751616,177152,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:38:47.252+02:00@2188532.765,0.0077009999999999995,G1_EVACUATION_PAUSE,0.01,0.0,0.01,745472,178176,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:38:53.418+02:00@2188538.931,0.006213,G1_EVACUATION_PAUSE,0.01,0.0,0.0,746496,177152,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:38:58.973+02:00@2188544.487,0.007023,G1_EVACUATION_PAUSE,0.01,0.0,0.01,733184,178176,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:39:04.665+02:00@2188550.179,0.008063,G1_EVACUATION_PAUSE,0.01,0.0,0.01,780288,178176,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:39:10.505+02:00@2188556.018,0.006614,G1_EVACUATION_PAUSE,0.01,0.0,0.01,761856,178176,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:39:15.615+02:00@2188561.128,0.009663999999999999,G1_EVACUATION_PAUSE,0.01,0.0,0.01,743424,178176,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:39:21.262+02:00@2188566.776,0.006702,G1_EVACUATION_PAUSE,0.01,0.0,0.01,771072,178176,921600,921600,111660,111660,112448,112448
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:39:26.095+02:00@2188571.608,0.009153,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,763904,181248,921600,921600,111660,111660,112448,112448
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:39:26.104+02:00@2188571.618,0.002713,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:39:26.104+02:00@2188571.618,0.002684,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:39:33.385+02:00@2188578.898,0.007018,G1_EVACUATION_PAUSE,0.01,0.0,0.01,752640,178176,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:39:39.429+02:00@2188584.942,0.007426,G1_EVACUATION_PAUSE,0.01,0.0,0.0,764928,179200,921600,921600,111660,111660,112448,112448
Young,PauseEvent,2023-07-18T18:39:45.274+02:00@2188590.788,0.006734,G1_EVACUATION_PAUSE,0.01,0.0,0.01,735232,179200,921600,921600,111840,111840,112576,112576
Young,PauseEvent,2023-07-18T18:39:51.058+02:00@2188596.571,0.007435,G1_EVACUATION_PAUSE,0.02,0.0,0.0,735232,179200,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:39:57.673+02:00@2188603.187,0.008182,G1_EVACUATION_PAUSE,0.01,0.0,0.01,756736,179200,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:03.787+02:00@2188609.300,0.0069630000000000004,G1_EVACUATION_PAUSE,0.01,0.01,0.01,765952,179200,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:40:07.412+02:00@2188612.925,0.007265,G1_HUMONGOUS_ALLOCATION,0.02,0.0,0.01,566272,179200,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:40:07.419+02:00@2188612.932,0.00126,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:40:07.419+02:00@2188612.932,0.001221,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:40:14.006+02:00@2188619.520,0.006474000000000001,G1_EVACUATION_PAUSE,0.01,0.0,0.01,768000,179200,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:19.725+02:00@2188625.238,0.006721,G1_EVACUATION_PAUSE,0.01,0.0,0.01,757760,179200,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:25.256+02:00@2188630.769,0.008149,G1_EVACUATION_PAUSE,0.01,0.0,0.01,748544,179200,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:31.185+02:00@2188636.699,0.008359,G1_EVACUATION_PAUSE,0.02,0.0,0.01,748544,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:37.378+02:00@2188642.891,0.008509000000000001,G1_EVACUATION_PAUSE,0.02,0.01,0.0,751616,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:43.386+02:00@2188648.899,0.007402,G1_EVACUATION_PAUSE,0.02,0.01,0.01,757760,179200,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:50.081+02:00@2188655.594,0.008384,G1_EVACUATION_PAUSE,0.02,0.0,0.01,745472,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:40:56.749+02:00@2188662.262,0.006968,G1_EVACUATION_PAUSE,0.01,0.01,0.0,749568,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:03.353+02:00@2188668.866,0.009382,G1_EVACUATION_PAUSE,0.01,0.01,0.01,752640,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:09.283+02:00@2188674.796,0.006489,G1_EVACUATION_PAUSE,0.01,0.0,0.01,749568,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:15.098+02:00@2188680.612,0.007964,G1_EVACUATION_PAUSE,0.01,0.0,0.0,749568,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:22.383+02:00@2188687.896,0.005869,G1_EVACUATION_PAUSE,0.01,0.0,0.01,749568,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:30.013+02:00@2188695.527,0.007781,G1_EVACUATION_PAUSE,0.01,0.0,0.01,734208,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:36.681+02:00@2188702.194,0.006208999999999999,G1_EVACUATION_PAUSE,0.01,0.0,0.0,740352,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:42.772+02:00@2188708.285,0.010475,G1_EVACUATION_PAUSE,0.02,0.01,0.01,737280,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:49.063+02:00@2188714.577,0.007284,G1_EVACUATION_PAUSE,0.01,0.0,0.01,780288,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:54.677+02:00@2188720.190,0.007314,G1_EVACUATION_PAUSE,0.01,0.0,0.0,741376,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:00.934+02:00@2188726.447,0.00567,G1_EVACUATION_PAUSE,0.01,0.0,0.01,741376,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:07.813+02:00@2188733.326,0.005966,G1_EVACUATION_PAUSE,0.01,0.01,0.01,750592,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:14.461+02:00@2188739.975,0.00852,G1_EVACUATION_PAUSE,0.02,0.0,0.01,759808,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:21.377+02:00@2188746.891,0.006181,G1_EVACUATION_PAUSE,0.01,0.0,0.0,753664,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:27.018+02:00@2188752.531,0.006677,G1_EVACUATION_PAUSE,0.01,0.0,0.0,741376,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:34.693+02:00@2188760.206,0.009483,G1_EVACUATION_PAUSE,0.01,0.0,0.01,753664,182272,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:42:39.353+02:00@2188764.866,0.007054,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,680960,184320,921600,921600,111841,111841,112576,112576
